"Name","Address","Locality","City","Zip","lat","lon","Cuisines","Rating","Rating text","Votes"
"Juliano's Restaurant & Catering","5476 Steubenville Pike, McKees Rocks 15136","Robinson","Pittsburgh","15136","40.4492798000","-80.1245673000","Italian, Pizza, Sandwich","4.9","Excellent","1658"
"Nicky's Thai Kitchen","856 Western Ave, Pittsburgh 15233","North Side","Pittsburgh","15233","40.4522970000","-80.0157190000","Asian, Thai, Vegetarian","4.9","Excellent","1601"
"Pusadee's Garden","5321 Butler St, Pittsburgh 15201","Lawrenceville","Pittsburgh","15201","40.4824430000","-79.9522250000","Thai","4.9","Excellent","1192"
"Point Brugge Cafe","401 Hastings St, Pittsburgh 15206","Point Breeze","Pittsburgh","15206","40.4500010000","-79.9138700000","European","4.8","Excellent","2249"
"SMOKE barbeque taqueria","4115 Butler Street, Pittsburgh 15201","Lawrenceville","Pittsburgh","15201","40.4700450000","-79.9611500000","American, Mexican, BBQ","4.8","Excellent","1426"
"Fiori's Pizzaria","103 Capital Avenue, Pittsburgh 15226","Far South/South Hills","Pittsburgh","15226","40.4052240000","-80.0185180000","Pizza","4.7","Excellent","1393"
"Piper's Pub","1828 E Carson St, Pittsburgh 15203","South Side","Pittsburgh","15203","40.4285990000","-79.9800770000","Breakfast, Bar Food","4.7","Excellent","1275"
"La Gourmandine","4605 Butler St, Pittsburgh 15201","Lawrenceville","Pittsburgh","15201","40.4730130000","-79.9588540000","French","4.7","Excellent","756"
"Fat Head's Saloon","1805 E Carson St, Pittsburgh 15203","South Side","Pittsburgh","15203","40.4288370000","-79.9803950000","American, Burger, Bar Food","4.6","Excellent","2522"
"Spice Island Tea House","253 Atwood St, Pittsburgh 15213","Oakland","Pittsburgh","15213","40.4402710000","-79.9563630000","Asian, Thai, Vietnamese","4.6","Excellent","1108"
"Smiling Banana Leaf","5901 Bryant St, Pittsburgh 15206","Highland Park/Morningside","Pittsburgh","15206","40.4757680000","-79.9196780000","Thai","4.6","Excellent","1223"
"Wholey's Fish Market","1711 Penn Ave, Pittsburgh 15222","Strip District","Pittsburgh","15222","40.4499520000","-79.9859850000","Sandwich, Seafood, Sushi","4.6","Excellent","1034"
"Golden Pig Authentic Korean Cuisine","3201 Millers Run Rd, Cecil-Bishop 15321","Cecil","Pittsburgh","15321","40.3274240000","-80.1893147000","Korean","4.6","Excellent","728"
"Taipei-Tokyo Restaurant","304 Mall Boulevard, Monroeville 15146","Monroeville","Pittsburgh","15146","40.4347000000","-79.7865000000","Chinese, Japanese, Sushi","4.6","Excellent","828"
"Breadworks","2110 Brighton Rd, Pittsburgh 15212","North Side","Pittsburgh","15212","40.4619440000","-80.0190570000","","4.6","Excellent","478"
"Kaya","2000 Smallman St, Pittsburgh 15222","Strip District","Pittsburgh","15222","40.4516990000","-79.9844440000","Caribbean, Seafood, Vegetarian","4.5","Excellent","1830"
"Tram's Kitchen","4050 Penn Ave, Pittsburgh 15224","Bloomfield","Pittsburgh","15224","40.4653390000","-79.9561460000","Vegetarian, Vietnamese","4.5","Excellent","1358"
"Max's Allegheny Tavern","537 Suismon St, Pittsburgh 15212","North Side","Pittsburgh","15212","40.4550890000","-80.0004830000","American, German, Bar Food","4.5","Excellent","982"
"Park Bruges","5801 Bryant St, Pittsburgh 15206","Highland Park/Morningside","Pittsburgh","15206","40.4761240000","-79.9206360000","Breakfast, French, Belgian","4.5","Excellent","904"
"Thai Cuisine","4627 Liberty Ave, Pittsburgh 15224","Bloomfield","Pittsburgh","15224","40.4623870000","-79.9500220000","Thai, Vegetarian","4.5","Excellent","994"
"Peppi's","927 Western Ave, Pittsburgh 15233","North Side","Pittsburgh","15233","40.4517140000","-80.0171860000","American, Sandwich","4.5","Excellent","874"
"Cafe Du Jour","1107 E Carson St, Pittsburgh 15203","South Side","Pittsburgh","15203","40.4289370000","-79.9873490000","European, French, Mediterranean","4.5","Excellent","638"
"Thai Gourmet","4505 Liberty Ave, Pittsburgh 15224","Bloomfield","Pittsburgh","15224","40.4632130000","-79.9515160000","Asian, Thai, Vegetarian","4.5","Excellent","552"
"Salem's Market & Grill","2923 Penn Ave, Pittsburgh 15201","Strip District","Pittsburgh","15201","40.4582140000","-79.9739070000","Indian, International, Middle Eastern","4.5","Excellent","680"
"Cedars Mediterranean Cuisine","4071 Washington Road, Canonsburg 15317","McMurray","Pittsburgh","15317","40.2656334011","-80.1276705323","Mediterranean, Middle Eastern, Vegetarian","4.5","Excellent","381"
"Amazing Wok","2910 W Liberty Ave, Pittsburgh 15216","Dormont","Pittsburgh","15216","40.3947320000","-80.0350580000","Chinese","4.5","Excellent","538"
"Triangle Bar & Grill","2122 Monongahela Ave, Pittsburgh 15218","Swissvale","Pittsburgh","15218","40.4176410000","-79.8879360000","American, Fast Food, Italian","4.5","Excellent","541"
"Dor-Stop Restaurant","1430 Potomac Ave, Pittsburgh 15216","Dormont","Pittsburgh","15216","40.3959120000","-80.0348020000","American, Breakfast, Diner","4.4","Very Good","1074"
"Burgatory Bar","932 Freeport Rd, Pittsburgh 15238","Aspinwall/Blawnox","Pittsburgh","15238","40.4891418000","-79.8930872000","Burger, Bar Food, Sandwich","4.4","Very Good","2140"
"Eleven","1150 Smallman St, Pittsburgh 15222","Strip District","Pittsburgh","15222","40.4459030000","-79.9934200000","American, European","4.4","Very Good","1309"
"Tessaro's","4601 Liberty Ave, Pittsburgh 15224","Bloomfield","Pittsburgh","15224","40.4627870000","-79.9506410000","American, Burger","4.4","Very Good","1568"
"Pamela's P & G Diner","60 21st St, Pittsburgh 15222","Strip District","Pittsburgh","15222","40.4525190000","-79.9843860000","American, Breakfast, Coffee and Tea","4.4","Very Good","975"
"Little Tokyo","636 Washington Rd, Pittsburgh 15228","Mt Lebanon","Pittsburgh","15228","40.3819800000","-80.0443740000","Japanese, Sushi","4.4","Very Good","1017"
