Name,Rating,Review_Count,Price,Cuisine,Latitude,Longitude,Street,City,Zip
Gaucho Parrilla Argentina,4.5,1350,$$,Argentine,40.449043,-79.987573,1601 Penn Ave,Pittsburgh, PA 15222
Meat & Potatoes,4.0,1513,$$$,Gastropubs,40.4431445862832,-80.0011037907791,649 Penn Ave,Pittsburgh, PA 15222
täkō,4.5,850,$$,American (New),40.4422285652929,-80.0019846968895,214 6th St,Pittsburgh, PA 15222
Noodlehead,4.5,875,$,Thai,40.457748,-79.925491,242 S Highland Ave,Pittsburgh, PA 15206
La Gourmandine Bakery & Pastry Shop,4.5,370,$,Bakeries,40.47312,-79.95886,4605 Butler St,Pittsburgh, PA 15201
Butcher and the Rye,4.5,691,$$$,American (New),40.442334,-80.002066,212 6th St,Pittsburgh, PA 15222
Eleven,4.0,587,$$$,American (New),40.44602,-79.99325,1150 Smallman St,Pittsburgh, PA 15222
Point Brugge Café,4.5,520,$$,Belgian,40.45003,-79.91385,401 Hastings St,Pittsburgh, PA 15206
Altius,4.5,411,$$$,American (New),40.438556,-80.019299,1230 Grandview Ave,Pittsburgh, PA 15211
Smallman Galley,4.5,370,$$,American (Traditional),40.4521777,-79.9837408,54 21st St,Pittsburgh, PA 15222
Proper Brick Oven & Tap Room,4.5,488,$$,Italian,40.4435995,-80.0003448,139 7th St,Pittsburgh, PA 15222
Fat Heads Saloon,4.0,666,$$,American (Traditional),40.42897,-79.98022,1805 E Carson St,Pittsburgh, PA 15203
P&G's Pamela's Diner,4.0,453,$,Diners,40.45199,-79.98366,60 21st St,Pittsburgh, PA 15222
Kaya,4.0,557,$$,Caribbean,40.45167,-79.98424,2000 Smallman St,Pittsburgh, PA 15222
Cure,4.0,385,$$$,American (New),40.48269,-79.95116,5336 Butler St,Pittsburgh, PA 15201
Bakersfield,4.0,493,$$,Bars,40.444065,-79.996632,940 Penn Ave,Pittsburgh, PA 15222
Nicky's Thai Kitchen,4.0,491,$$,Thai,40.443983,-79.998256,903 Penn Ave,Pittsburgh, PA 15222
Legume,4.5,345,$$$,French,40.45039,-79.95086,214 N Craig St,Pittsburgh, PA 15213
Sienna Mercato,4.0,659,$$,Italian,40.4439496,-79.9964366,942 Penn Ave,Pittsburgh, PA 15222
Everyday Noodles,4.0,518,$$,Chinese,40.438262,-79.920082,5875 Forbes Ave,Pittsburgh, PA 15217
Primanti Bros.,3.5,1120,$,Sandwiches,40.4507064819336,-79.9855880737305,46 18th St,Pittsburgh, PA 15222
Piper's Pub,4.5,325,$$,British,40.4284324645996,-79.9794692993164,1828 E Carson St,Pittsburgh, PA 15203
The Dor-Stop Restaurant,4.5,352,$,Breakfast & Brunch,40.39601,-80.03473,1430 Potomac Ave,Pittsburgh, PA 15216
Church Brew Works,3.5,925,$$,Bars,40.46244,-79.9644,3525 Liberty Ave,Pittsburgh, PA 15201
Millie's Homemade Ice Cream,4.5,239,$,Ice Cream & Frozen Yogurt,40.4578599,-79.9254799,232 S Highland Ave,Pittsburgh, PA 15206
Hofbrauhaus Pittsburgh,4.0,578,$$,German,40.428768,-79.964499,2705 S Water St,Pittsburgh, PA 15203
Waffallonia,4.5,264,$,Ice Cream & Frozen Yogurt,40.43769,-79.92283,1709 Murray Ave,Pittsburgh, PA 15217
Smiling Banana Leaf,4.0,412,$$,Thai,40.47591,-79.91954,5901 Bryant St,Pittsburgh, PA 15206
Nicky's Thai Kitchen,4.0,369,$$,Thai,40.45226,-80.01628,856 Western Ave,Pittsburgh, PA 15233
Banh Mi & Ti,4.5,171,$,Vietnamese,40.472145273083,-79.9589364429569,4502 Butler St,Pittsburgh, PA 15201
Winghart's Burger & Whiskey Bar,4.0,461,$$,Burgers,40.44014,-80.0024,5 Market Sq,Pittsburgh, PA 15222
Deluca's Diner,4.0,503,$,Breakfast & Brunch,40.45154,-79.98375,2015 Penn Ave,Pittsburgh, PA 15222
Monterey Bay Fish Grotto,4.0,363,$$$,Seafood,40.439059,-80.021242,1411 Grandview Ave,Pittsburgh, PA 15211
Las Palmas Carniceria,4.5,202,$,Mexican,40.3945960998535,-80.0216827392578,700 Brookline Blvd,Pittsburgh, PA 15226
D's Six Pax & Dogz,4.5,329,$$,Pubs,40.432083,-79.893639,1118 S Braddock Ave,Pittsburgh, PA 15218
Muddy Waters Oyster Bar,4.5,290,$$,Cocktail Bars,40.4602070145253,-79.925226,130 S Highland Ave,Pittsburgh, PA 15206
Istanbul Sofra,4.5,302,$$,Turkish,40.4395831125655,-79.8974592089652,7600 Forbes Ave,Pittsburgh, PA 15221
DiAnoia's Eatery,4.5,255,$$,Italian,40.455,-79.97874,2549 Penn Ave,Pittsburgh, PA 15222
Burgatory,4.0,435,$$,Burgers,40.489444,-79.892937,932 Freeport Rd,Pittsburgh, PA 15238
Las Palmas,4.5,182,$,Mexican,40.4389190673828,-79.9553070068359,326 Atwood St,Pittsburgh, PA 15213
Penn Ave Fish Company,4.0,257,$$,Sushi Bars,40.4523086547852,-79.981819152832,2208 Penn Ave,Pittsburgh, PA 15222
Apteka,4.5,175,$$,Vegan,40.4656499,-79.94933,4606 Penn Ave,Pittsburgh, PA 15224
Doce Taqueria,4.5,189,$,Mexican,40.42859,-79.9855199,1220 E Carson St,Pittsburgh, PA 15203
Square Cafe,4.0,397,$$,Breakfast & Brunch,40.432113757304,-79.893269196457,1137 S Braddock Ave,Pittsburgh, PA 15218
