"Name","Address","City","Zip","lat","lon","Cuisines","Rating","Votes","Price","url"
"Gaucho Parrilla Argentina","1601 Penn Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.449043","-79.987573","Argentine","4.5","1366","$$","https://www.yelp.com/biz/gaucho-parrilla-argentina-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Meat & Potatoes","649 Penn Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.4431445862832","-80.0011037907791","Gastropubs","4.0","1526","$$$","https://www.yelp.com/biz/meat-and-potatoes-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"täkō","214 6th St,Pittsburgh, PA 15222","Pittsburgh","15222","40.4422285652929","-80.0019846968895","American (New), Mexican","4.5","870","$$","https://www.yelp.com/biz/t%C3%A4k%C5%8D-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Noodlehead","242 S Highland Ave,Pittsburgh, PA 15206","Pittsburgh","15206","40.457748","-79.925491","Thai, Noodles","4.5","885","$","https://www.yelp.com/biz/noodlehead-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"La Gourmandine Bakery & Pastry Shop","4605 Butler St,Pittsburgh, PA 15201","Pittsburgh","15201","40.47312","-79.95886","Bakeries, French","4.5","373","$","https://www.yelp.com/biz/la-gourmandine-bakery-and-pastry-shop-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Butcher and the Rye","212 6th St,Pittsburgh, PA 15222","Pittsburgh","15222","40.442334","-80.002066","American (New), Butcher, Cocktail Bars","4.5","702","$$$","https://www.yelp.com/biz/butcher-and-the-rye-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Eleven","1150 Smallman St,Pittsburgh, PA 15222","Pittsburgh","15222","40.44602","-79.99325","American (New)","4.0","587","$$$","https://www.yelp.com/biz/eleven-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Point Brugge Café","401 Hastings St,Pittsburgh, PA 15206","Pittsburgh","15206","40.45003","-79.91385","Belgian","4.5","521","$$","https://www.yelp.com/biz/point-brugge-caf%C3%A9-pittsburgh-2?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Altius","1230 Grandview Ave,Pittsburgh, PA 15211","Pittsburgh","15211","40.438556","-80.019299","American (New), Venues & Event Spaces, Bars","4.5","416","$$$","https://www.yelp.com/biz/altius-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Smallman Galley","54 21st St,Pittsburgh, PA 15222","Pittsburgh","15222","40.4521777","-79.9837408","American (Traditional), Bars","4.5","373","$$","https://www.yelp.com/biz/smallman-galley-pittsburgh-2?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Proper Brick Oven & Tap Room","139 7th St,Pittsburgh, PA 15222","Pittsburgh","15222","40.4435995","-80.0003448","Italian, Pizza, Bars","4.5","492","$$","https://www.yelp.com/biz/proper-brick-oven-and-tap-room-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
